번호,정답
64,④
65,②
66,41
67,③
68,6
69,"③, ⑤"
70,13
71,④
72,"②, ④"
73,③
74,4개
75,"ㄱ, ㄴ"
76,⑤
77,①
78,5
79,(-√3)²
80,③
81,④
82,⑤
83,①
84,④
85,③
86,-6
87,13
88,④
89,②
90,2개
91,③
92,①
93,④
94,③
95,-a-b
96,①
97,②
98,-a+4
99,-4a-2b
100,③
101,30
102,42
103,87
104,③
105,12
106,14
107,3
108,③
109,④
110,3개
111,③
112,③
113,42
114,24
115,⑤
116,2/3
117,25
118,②
119,②
120,③
121,1
122,⑤
123,4
124,"(1) 27개, (2) 4개, (3) 22개"
125,⑤
126,5
127,2개
128,"√3.6, √2-1"
129,"④, ⑤"
130,②
131,④
132,③
133,④
134,③
135,②
136,②
137,"ㄴ, ㄷ"
138,-1+√10
139,"P: 2-√13, Q: 2+√10"
140,③
141,"③, ⑤"
142,"①, ④"
143,⑤
144,③
145,④
146,②
147,C
148,z
149,1+√3
150,③
151,점 C
152,④
153,"구간 A, 구간 C, 구간 F"
154,④
155,3
156,5
157,③
158,④
159,③
160,"2, 3, √10, √3+2"
161,6개
162,⑤
163,③
164,③
165,⑤
166,"③, ⑤"
167,-a
168,②
169,34
170,①
171,60
172,"ㄱ, ㄴ, ㅂ"
173,-5+√2
174,"③, ⑤"
175,"③, ⑤"
176,①
177,"점 A, 점 B, 점 D"
178,22
179,2a
180,15
181,21
182,1/6
183,"3, 12, 27"
184,17
185,20
243,③
244,④
245,7
246,③
247,10배
248,21
249,2√6
250,④
251,"(가)115,(나)90"
252,84
253,③
254,"①,③"
255,17
256,2
257,70
258,⑤
259,④
260,"(1)1/(50a),(2)10a+1/10 b"
261,⑤
262,5/3
263,④
264,④
265,2/√3
266,④
267,-6/5
268,"④,⑤"
269,-5
270,④
271,7√2 cm
272,3√6 cm
273,4√6
274,④
275,②
276,⑤
277,4-2√3
278,③
279,②
280,④
281,③
282,②
283,③
284,⑤
285,-2√2+2√3
286,-1+2√2
287,4-2√2
288,2+3√5
289,①
290,②
291,-2
292,②
293,3/2
294,①
295,-7+2√10
296,√15/5
297,11
298,√10-2
299,⑤
300,7√3
301,④
302,④
303,A<B<C
304,⑤
305,18√6 cm²
306,9√2 cm
307,24√3
308,30√5 cm³
309,③
310,④
311,658
312,"(1)0.3464,(2)0.707"
313,③
314,4
315,③
316,"a=-1,P=8"
317,①
318,③
319,3
320,②
321,④
322,10
323,④
324,②
325,12√2
326,②
327,⑤
328,②
329,③
330,0
331,②
332,C<A<B
333,②
334,"15.23,0.04909"
335,④
336,-13+6√7
337,12
338,3√2
339,(10+22√5) cm
340,2
341,2√3
342,-1/18
343,②
344,3-2√3
364,②
365,11
366,③
367,a²-5a-ab+8b+2
368,③
369,④
370,⑤
371,0
372,③
373,③
374,⑤
375,④
376,⑤
377,2x²-20xy+y²
378,5
379,16
380,③
381,②
382,-5
383,8
384,-3
385,④
386,9
387,-2x²+13x+3
388,9
389,③
390,-22
391,41
392,②
393,⑤
394,③
395,30x²-3x-6
396,12
397,17
398,20a²-9a+1
399,a²-b²
400,-2a²+13a-15
401,③
402,"(1)x²-2xz+z²-y²,(2)x²+2xy+y²-2x-2y,(3)4x²+4xy+y²-4x-2y+1"
403,2x-6y+1
404,-5
405,18
406,x⁴-4x³+x²+6x
407,59
408,-16
409,⑤
410,④
411,⑤
412,2020
413,③
414,④
415,-34+2√6
416,4
417,⑤
418,③
419,①
420,2
421,③
422,"(1)11,(2)9"
423,③
424,④
425,④
426,"(1)18,(2)4"
427,⑤
428,-2√6
429,④
430,20
431,16
432,8
433,④
434,④
435,⑤
436,⑤
437,①
438,③
439,②
440,③
441,15a²-8a+1
442,③
443,③
444,④
445,-8
446,39
447,③
448,-3
449,-12
450,10
451,47
452,①
453,-10
454,16
455,13
509,④
510,③
511,④
512,②
513,④
514,②
515,2x-y-1
516,④
517,③
518,②
519,28
520,50
521,④
522,②
523,16
524,③
525,2a
526,4x-12
527,-x+1
528,⑤
529,④
530,⑤
531,(a-1)(x+y)(x-y)
532,①
533,(x+4)(x-7);3(x-4)(x+6);a(a+4b)(a-8b)
534,③
535,④
536,②
537,(2x-3)(3x+4);3(x-2y)(3x-y);(2a-b)(5a+4b)
538,③
539,2
540,②
541,⑤
542,④
543,②
544,①
545,-2
546,4
547,①
548,④
549,④
550,-3
551,②
552,(x+2)(x-3)
553,(x+2)(2x-3)
554,2x+1
555,③
556,3a-2
557,5x+7
558,③
559,(3x+2y+1)(3x-2y-3);(a+b+2)(a+b-2)
560,①
561,8x+17
562,②,③
563,②
564,3x-5
565,y-1
566,③
567,①,③
568,-16
569,10x
570,80
571,③
572,1
573,①
574,③
575,①
576,③
577,√3
578,③
579,②,④
580,(a-2)(a-6)(a²-8a+10)
581,7
582,①
583,⑤
584,2x+6y-4
585,-3
586,④
587,③
588,①
589,15
590,②
591,①
592,⑤
593,②
594,⑤
595,①
596,②
597,④
598,⑤
599,②
600,x-y
601,12
602,(x-1)(x-5)
603,4x-6
604,96
605,a
606,④
607,①
608,8√5
