번호,정답
42,3개
43,4개
44,②
45,47
46,⑤
47,③
48,②
49,③,⑤
50,④
51,5
52,76
53,②
54,④
55,8
56,4
57,10
58,②
59,②
60,4
61,⑤
62,①,⑤
63,4
64,162
65,③
66,④
67,③
68,9
69,⑤
70,5
71,3
72,a=3,b=1
73,①,③
74,12
75,③
76,60
77,④
78,4
79,4
80,8개
81,③
82,②,⑤
83,④
84,9
85,⑤
86,④
87,④
88,152
89,③
90,3
91,②
92,③
93,84
94,③
95,4
96,405
97,4
98,6
99,2
100,22
101,②
102,15
103,7
104,36
131,⑤
132,2개
133,①,③
134,③
135,①
136,④
137,1
138,5
139,④
140,⑤
141,②
142,④
143,③
144,35병
145,10개,남학생:6명, 여학생:5명
146,40cm,28
147,20장
148,24개
149,4
150,③
151,22개
152,④
153,③
154,④
155,9
156,①
157,②
158,②
159,720
160,③
161,9
162,5
163,16
164,3
165,③
166,16
167,260
168,24
169,5
170,③
171,①,60cm,②,20
172,②
173,360cm,3600
174,오전10시
175,④
176,180초
177,오전7시40분
178,②
179,48개
180,A:4바퀴,B:5바퀴
181,②
182,③
183,594
184,③
185,②,⑤
186,55
187,③
188,③
189,③
190,4개
191,④
192,②
193,②
194,④
195,④
196,②,⑤
197,②
198,9
199,④
200,③
201,④
202,⑤
203,④
204,122
205,108/7
206,⑤
207,③
208,56
209,①,③,②,9
210,60
211,오후8시4분
212,③
213,20
264,④
265,⑤
266,③
267,②
268,②,④
269,4
270,④
271,③,④
272,5
273,⑤
274,③,⑤
275,③
276,⑤
277,③
278,-4,5
279,③
280,④
281,a=-2,b=1
282,②
283,③
284,a=-4,b=10
285,③
286,5
287,1
288,a=5,b=-2
289,⑤
290,⑤
291,d,c,b,e,a
292,5
293,③
294,-4,-3,3,4
295,④
296,-7
297,2,-2
298,8
299,①,④
300,⑤
301,0.7
302,③
303,②
304,④
305,②,④
306,④
307,8
308,②
309,③
310,a=-5,b=10
311,a=8,b=-2
312,a=8,b=-2
313,b<a<c
314,c<b<a
315,d<a<c<b
316,③
317,2
318,②,④
319,③
320,②
321,②
322,a=-8,b=3
323,④
324,②
325,-1,0,1
326,5
327,②,⑤
328,⑤
329,①,⑤
330,④
331,②
332,-3
333,4
334,-7,3
335,2
336,5
337,4
338,2
339,7
340,a=8,b=-4
341,a<c<b
403,④
404,②
405,⑤
406,교환법칙,결합법칙
407,교환,결합,-11,-8
408,2
409,⑤
410,②,⑤
411,-11/6
412,①,⑤
413,②
414,③
415,②
416,②
417,-1
418,5/12
419,④
420,9
421,③
422,7/12
423,①
424,7/4
425,6
426,2
427,2
428,(1),-13,(2),17
429,3/20
430,-3/2
431,④
432,9
433,13/3
434,1050명
435,49kg
436,320개
437,-12
438,a=-1,b=-2
439,-31/12
440,④
441,③
