번호,정답
0038,6x^2+8xy-10y^2
0039,x^2+4xy-2y^2
0040,④
0041,0
0042,④
0043,5
0044,10
0045,20
0046,⑤
0047,④
0048,-2
0049,18
0050,③
0051,a^2-b^2-c^4+2bc^2
0052,x^4-8x^3+14x^2+8x-15
0053,108
0054,④
0055,10
0056,30√3
0057,47
0058,⑤
0059,①
0060,②
0061,-2
0062,49
0063,③
0064,32
0065,①
0066,④
0067,③
0068,8
0069,9
0070,15
0071,⑤
0072,x^2-x+5
0073,"몫: 2x-1, 나머지: 0"
0074,x^2-4x+7
0075,"몫: x+4, 나머지: 2x"
0076,"몫: 1/3Q(x), 나머지: R"
0077,④
0078,①
0079,19
0080,8
0081,②
0082,①
0083,19
0084,④
0085,5
0086,52 cm^2
0087,47
0088,④
0089,150
0090,2
0091,⑤
0092,⑤
0093,-3
0094,③
0095,④
0096,⑤
0097,32-12√6
0098,x^2+3x-1
0099,x+4
0100,"몫: 2Q(x), 나머지: R"
0101,3
0102,④
0103,24
0104,21
0105,6
0106,60
0107,②
0108,71/8
0109,6
0110,4
0124,2
0125,3
0126,14
0127,③
0128,①
0129,84
0130,2
0131,-1
0132,③
0133,④
0134,35
0135,②
0136,-15
0137,32
0138,⑤
0139,④
0140,60
0141,④
0142,-2
0143,2
0144,-1
0145,5
0146,⑤
0147,⑤
0148,-x+16
0149,5x-6
0150,-x^2+2x+2
0151,2
0152,②
0153,-6
0154,②
0155,-2
0156,①
0157,②
0158,18
0159,2
0160,-20
0161,⑤
0162,3
0163,-6
0164,⑤
0165,-4
0166,②
0167,100
0168,-1
0169,②
0170,③
0171,97
0172,3
0173,-1
0174,3
0175,5
0176,①
0177,-5
0178,①
0179,-6
0180,-2
0181,-11
0182,3
0183,1
0184,①
0185,3
0186,⑤
0187,x+1
0188,2
0189,2
0190,6
0191,-27
0192,-18
0193,-6
0194,③
0195,-4
0223,③
0224,-36
0225,③
0226,③
0227,②
0228,①
0229,③
0230,4
0231,④
0232,1
0233,-3
0234,10
0235,⑤
0236,5
0237,④
0238,(x+1)(x-3)(x-y)
0239,①
0240,-1
0241,(a+b)(b+c)(c+a)
0242,①
0243,②
0244,6
0245,⑤
0246,⑤
0247,③
0248,22
0249,⑤
0250,③
0251,④
0252,③
0253,④
0254,51
0255,180
0256,24
0257,5/3
0258,9999
0259,③
0260,③
0261,524
0262,⑤
0263,b=c인 이등변삼각형
0264,⑤
0265,②
0266,②
0267,8
0268,④
0269,④
0270,3(x-y)(y-z)(z-x)
0271,①
0272,⑤
0273,6
0274,-220
0275,②
0276,22
0277,16
0278,3
0279,√3
0309,"③, ④"
0310,3
0311,20
0312,-7+14i
0313,②
0314,③
0315,21
0316,1
0317,①
0318,③
0319,-5
0320,⑤
0321,8/25
0322,-32
0323,-292i
0324,4
0325,-3
0326,1
0327,④
0328,1
0329,-11
0330,19
0331,②
0332,"ㄱ, ㄴ"
0333,②
0334,-1
0335,3+2i
0336,④
0337,2±√3i
0338,3
0339,④
0340,-1
0341,⑤
0342,103
0343,①
0344,0
0345,1
0346,③
0347,⑤
0348,4
0349,0
0350,x^2-4
0351,-a-2b
0352,3
0353,②
0354,ㄱ
0355,④
0356,④
0357,5
0358,5+13i
0359,④
0360,-i
0361,⑤
0362,-4-3i
0363,-4
0364,-4
0365,5
0366,⑤
0367,13
0368,12
0369,②
0370,③
0371,2
0372,20
0373,-d
0374,100-i
0375,24
0394,④
0395,18
0396,④
0397,1
0398,2
0399,-3
0400,④
0401,14
0402,-1
0403,x=-1-√3 또는 x=1+√3
0404,③
0405,-2+√2
0406,3
0407,200 cm²
0408,③
0409,②
0410,④
0411,-1
0412,12
0413,③
0414,서로 다른 두 허근
0415,서로 다른 두 실근
0416,①
0417,3
0418,⑤
0419,18
0420,⑤
0421,2/3
0422,√13
0423,③
0424,44
0425,③
0426,21/2
0427,2
0428,②
0429,-10
0430,1
0431,⑤
0432,5
0433,2
0434,3
0435,②
0436,②
0437,③
0438,18
0439,"a=-6, b=1"
0440,13
0441,①
0442,2x²-5x+2=0
0443,5/2
0444,2
0445,-2
0446,x=-6 또는 x=2
0447,x=-8 또는 x=3
0448,1
0449,①
0450,3/2
0451,①
0452,-69
0453,①
0454,-1
0455,10초
0456,120 m
0457,②
0458,8
0459,1
0460,"ㄱ, ㄴ"
0461,정삼각형
0462,-19/10
0463,6
0464,③
0465,2
0466,x²-8x-20=0
0467,①
0468,⑤
0469,③
0470,x=(1±√17)/2
0471,-4/3
0472,-1
0473,⑤
0474,6
0475,1/2 bc
0476,x²-3x+2=0
0477,-1
0478,"ㄱ, ㄴ, ㄷ"
0479,1
0480,-1
0500,①
0501,72
0502,4
0503,-7
0504,⑤
0505,③
0506,"(3, 28)"
0507,④
0508,8
0509,1/2
0510,0
0511,1
0512,8
0513,1
0514,21/4
0515,⑤
0516,-1
0517,28
0518,y=2
0519,1
0520,④
0521,120
0522,16
0523,-5
0524,-3
0525,1
0526,4
0527,8
0528,①
0529,5
0530,-4
0531,②
0532,16
0533,①
0534,24
0535,2/3
0536,50
0537,-1
0538,20
0539,63 m
0540,15
0541,1200 m²
0542,18 m
0543,40명
0544,②
0545,-13
0546,10
0547,②
0548,5
0549,②
0550,③
0551,-2
0552,-8/3
0553,7
0554,10
0555,4
0556,③
0557,3
0558,-2
0559,⑤
0560,1
0561,9b
0562,-23
0563,11/2
0564,4/9
0565,③
0566,2
0599,①
0600,14
0601,-2
0602,③
0603,-15
0604,-15
0605,③
0606,①
0607,5
0608,3√2
0609,-3
0610,①
0611,8
0612,-4
0613,0
0614,③
0615,-4
0616,-1
0617,29
0618,⑤
0619,1
0620,k>0
0621,-2
0622,①
0623,-1
0624,19
0625,92
0626,③
0627,x³+2x-1=0
0628,9
0629,-7
0630,③
0631,-12
0632,3
0633,③
0634,3
0635,5
0636,①
0637,7
0638,2
0639,4√2
0640,12
0641,20
0642,③
0643,70
0644,5
0645,8
0646,6
0647,5/6
0648,1
0649,②
0650,"m=1, 공통인 근: 1"
0651,-3/2
0652,8
0653,83
0654,2
0655,√14
0656,-2
0657,②
0658,4
0659,"ㄱ, ㄴ, ㄹ"
0660,7/3
0661,③
0662,1
0663,③
0664,16
0665,⑤
0666,5
0667,①
0668,5
0669,②
0670,4
0671,-1
0672,②
0673,4+2√2
0674,-2
0675,⑤
0676,⑤
0677,③
0678,②
0679,19
0680,⑤
0681,8 cm³
0682,-1+√5
0683,-15
0684,3/2
0685,3
0686,④
0687,5-√7
0688,⑤
0689,-18
0690,-3/4
0691,-7/2
0692,11/3
0693,18
0694,⑤
0695,6
0696,③
0714,-4
0715,5
0716,12
0717,10
0718,-2
0719,⑤
0720,6
0721,6≤A<14
0722,④
0723,④
0724,x=1
0725,12
0726,117
0727,16
0728,6
0729,-1
0730,a≤-2
0731,k≥2
0732,4
0733,10 g 이상 24 g 이하
0734,43
0735,10
0736,80 g 이상 200 g 이하
0737,6
0738,②
0739,1
0740,③
0741,④
0742,③
0743,a≥9
0744,"a=-14/3, b=13/3"
0745,-1
0746,③
0747,2
0748,6
0749,④
0750,②
0751,③
0752,③
0753,0<a≤1
0754,-10
0755,-7≤a≤4
0756,⑤
0757,③
0758,①
0759,⑤
0760,x<-4/13
0761,1<x≤3
0762,3/2
0763,a≥2
0764,200 g 이상 400 g 이하
0765,7
0766,4
0767,②
0768,a≤-1/2
0769,③
0770,67명
0771,2
0772,12
0773,60 g 이상 100 g 이하
0774,2
