번호,정답
0059,③
0060,⑤
0061,10
0062,2
0063,②
0064,"(1) 7 (2) 11 (3) 8, 9, 10, 11"
0065,"③, ④"
0066,8
0067,②
0068,⑤
0069,"a=5, b=6"
0070,3
0071,2⁷
0072,12
0073,④
0074,3
0075,④
0076,7
0077,①
0078,1
0079,②
0080,②
0081,④
0082,④
0083,19
0084,⑤
0085,10
0086,②
0087,"(1) 2×3²×5²×7 (2) 14"
0088,①
0089,21
0090,12
0091,8
0092,③
0093,"3, 12, 75, 300"
0094,"①, ④"
0095,④
0096,248
0097,③
0098,42
0099,②
0100,24
0101,"(ㄷ), (ㄹ)"
0102,"②, ④"
0103,⑤
0104,③
0105,6
0106,2
0107,③
0108,⑤
0109,"(ㄱ), (ㄴ), (ㄹ)"
0110,3
0111,③
0112,④
0113,1
0114,131
0115,8
0116,④
0117,⑤
0118,③
0119,③
0120,20
0121,④
0122,③
0123,④
0124,③
0125,1953
0126,2
0127,18
0128,200
0129,16
0130,6
0131,9
0132,160
0133,②
0178,③
0179,"1, 2, 3, 6, 6"
0180,9
0181,6
0182,③
0183,⑤
0184,"②, ⑤"
0185,③
0186,12
0187,⑤
0188,②
0189,2
0190,4
0191,④
0192,"1, 2, 4"
0193,210
0194,③
0195,"①, ④"
0196,5
0197,③
0198,④
0199,⑤
0200,3
0201,810
0202,②
0203,①
0204,"(1) 7 (2) 14"
0205,②
0206,"24, 40, 48"
0207,5
0208,②
0209,⑤
0210,④
0211,2
0212,6
0213,90
0214,112
0215,③
0216,③
0217,③
0218,27
0219,3
0220,③
0221,120
0222,60
0223,④
0224,30
0225,④
0226,21
0227,⑤
0228,58
0229,②
0230,7
0231,88
0232,12
0233,④
0234,4
0235,②
0236,④
0237,40
0238,"(1) 5 (2) 18 (3) 15, 8"
0239,①
0240,6
0241,②
0242,"32, 64, 128"
0243,④
0244,③
0245,5
0246,④
0247,12
0248,①
0249,③
0250,④
0251,36
0252,②
0253,40/9
0254,4
0255,63
0256,"5, 55"
0257,3
0258,112
0259,"(1) 70 cm (2) 70"
0260,45
0317,②
0318,"(ㄱ), (ㄹ)"
0319,⑤
0320,⑤
0321,"②, ④"
0322,3
0323,3
0324,④
0325,④
0326,"③, ④"
0327,⑤
0328,3
0329,③
0330,⑤
0331,"(ㄱ), (ㄹ)"
0332,④
0333,"②, ③"
0334,-4/3
0335,⑤
0336,"(1) 수직선 그림 참조 (-11/4, 8/3) (2) a=-3, b=3"
0337,2
0338,①
0339,③
0340,4
0341,-9
0342,④
0343,"2/9, -2/9"
0344,"a=3, b=-5"
0345,23/4
0346,"a=-4, b=6"
0347,③
0348,④
0349,"③, ⑤"
0350,"8, -8"
0351,9/2
0352,6/5
0353,"a=5/3, b=-5/3"
0354,"-3.5, 1/2"
0355,③
0356,⑤
0357,13/3
0358,4
0359,"10/3, -4"
0360,③
0361,17
0362,④
0363,"(ㄱ), (ㄹ)"
0364,⑤
0365,"|-20/7|, -14/3"
0366,0.7
0367,③
0368,⑤
0369,④
0370,"(ㄱ), (ㄹ)"
0371,④
0372,④
0373,③
0374,-3
0375,12
0376,④
0377,"②, ⑤"
0378,"②, ④"
0379,④
0380,②
0381,④
0382,10/3
0383,-21/5
0384,13/4
0385,③
0386,④
0387,a<b<c
0388,6
0389,5
0390,"a=-8, b=2"
0391,4
0392,-3
0393,"-7/4≤x≤0, 정수 x: -1, 0"
0394,⑤
0395,a<b<c
0396,③
0482,③
0483,⑤
0484,-5/12
0485,-7/4
0486,"㉠ 덧셈의 교환법칙 ㉡ 덧셈의 결합법칙"
0487,②
0488,"(가) 교환 (나) 결합 (다) +3/2 (라) -3/2"
0489,④
0490,③
0491,①
0492,6
0493,③
0494,②
0495,④
0496,5
0497,-10
0498,11
0499,①
0500,10
0501,4
0502,1/12
0503,③
0504,9/10
0505,-5
0506,-2/3
0507,"(1) 8 (2) -13"
0508,④
0509,⑤
0510,6
0511,①
0512,22
0513,②
0514,3
0515,7/3
0516,27/8
0517,"a=0, b=-1"
0518,④
0519,6
0520,3300명
0521,전주
0522,③
0523,③
0524,⑤
0525,④
0526,③
0527,"세 수: 3, -2/9, -6, 계산 결과: 4"
0528,1/50
0529,"㉠ 곱셈의 교환법칙 ㉡ 곱셈의 결합법칙"
0530,②
0531,"(가) 교환 (나) 결합 (다) +12 (라) -24"
0532,⑤
0533,③
0534,⑤
0535,1/6
0536,③
0537,⑤
0538,-2
0539,-1
0540,⑤
0541,①
0542,2186
0543,6
0544,①
0545,①
0546,⑤
0547,9/4
0548,④
0549,"a=-5/3, b=10"
0550,①
0551,-28/5
0552,3
0553,④
0554,⑤
0555,20/3
0556,4
0557,"(1) ㉢, ㉄, ㉡, ㉇, ㉠ (2) 4"
0558,⑤
0559,10/9
0560,5
0561,-3/2
0562,2
0563,③
0564,-2/5
0565,①
0566,③
0567,"(1) 3/2 (2) -5/4"
0568,③
0569,2
0570,⑤
0571,②
0572,②
0573,2
0574,③
0575,⑤
0576,②
0577,29/12
0578,③
0579,3500원
0580,③
0581,-1/15
0582,④
0583,④
0584,6
0585,3
0586,②
0587,-3/14
0588,③
0589,-17/4
0590,-25/4
0591,1/4
0592,-7
0593,③
0594,-12
0595,-b
0698,"①, ⑤"
0699,③
0700,⑤
0701,③
0702,①
0703,⑤
0704,x/(x+y) + 3x/y
0705,⑤
0706,"④, ⑤"
0707,④
0708,x - xy/100
0709,"③, ⑤"
0710,⑤
0711,③
0712,"(1) (16a+16b+2ab) cm² (2) 8ab cm³"
0713,95(90-x) m²
0714,(15000-1200a-2500b)원
0715,⑤
0716,③
0717,(4/3a+600b)원
0718,(12000+4y+2z)원
0719,②
0720,"(ㄱ), (ㄷ)"
0721,"(1) 90x km (2) (450-90x) km"
0722,⑤
0723,④
0724,"(1) 3x g (2) 3/4x %"
0725,②
0726,-3
0727,④
0728,12
0729,"(ㄴ), (ㄹ)"
0730,③
0731,⑤
0732,63 kg
0733,②
0734,"(1) 초속 340 m (2) 1700 m"
0735,"(1) (20000-900x)원 (2) 11000원"
0736,"(1) 0.23h cm (2) 36.8 cm"
0737,"(1) 80-4x (2) 56"
0738,"(1) 3x (2) 24"
0739,⑤
0740,"①, ⑤"
0741,1
0742,(ㄴ)
0743,④
0744,"②, ⑤"
0745,1
0746,②
0747,④
0748,40
0749,11/4
0750,⑤
0751,③
0752,⑤
0753,"x²/2과 -3x², xy와 -4xy"
0754,③
0755,48x-16
0756,③
0757,10
0758,9x+5
0759,③
0760,-10
0761,③
0762,-7/4
0763,-7/12x-1
0764,⑤
0765,③
0766,③
0767,-6x-1
0768,②
0769,-7x-2y
0770,④
0771,6x-15
0772,"(1) 4x+1 (2) 13x-5"
0773,4x+6
0774,"(1) 성인: 2x-3, 어린이: x+4 (2) (45000x-25000)원"
0775,2a+5
0776,⑤
0777,⑤
0778,"(ㄱ), (ㄹ)"
0779,④
0780,-6
0781,112회
0782,②
0783,③
0784,⑤
0785,3
0786,⑤
0787,4
0788,4x-8
0789,①
0790,"(1) 300/x 분, 400/y 분 (2) (300/x + 400/y)분"
0791,"(1) 아들: ((x+y)/2+6.5) cm, 딸: ((x+y)/2-6.5) cm (2) 아들: 174 cm, 딸: 161 cm"
0792,3/4
0793,15x+24
0794,9
0795,①
0855,"(ㄴ), (ㄷ)"
0856,①
0857,"②, ⑤"
0858,④
0859,③
0860,2(x+8)+3=5x-8
0861,③
0862,⑤
0863,x=-1
0864,④
0865,"(ㄱ), (ㄷ)"
0866,⑤
0867,⑤
0868,⑤
0869,6
0870,⑤
0871,"(ㄱ), (ㄴ), (ㄹ)"
0872,②
0873,③
0874,㉠
0875,②
0876,③
0877,"(가) -2x (나) 5 (다) 12 (라) 2 (마) 6"
0878,④
0879,②
0880,4
0881,"③, ④"
0882,④
0883,a≠-3
0884,"(ㄱ), (ㄴ)"
0885,④
0886,④
0887,-26
0888,②
0889,x=3
0890,x=-2
0891,x=-5
0892,①
0893,③
0894,x=-5/4
0895,④
0896,-2
0897,⑤
0898,②
0899,-9
0900,-14
0901,⑤
0902,-10
0903,3
0904,⑤
0905,②
0906,24
0907,"①, ⑤"
0908,④
0909,"(ㄹ), (ㅂ)"
0910,9
0911,④
0912,"②, ⑤"
0913,④
0914,②
0915,⑤
0916,3
0917,⑤
0918,-7/4
0919,-9
0920,6
0921,6
0922,-13
0923,3
0924,-4/9
0925,-2
0926,④
0937,7
0938,⑤
0939,"(1) 3 (2) 4"
0940,2
0941,④
0942,④
0943,"(1) x-2, x+2 (2) (x-2)+x+(x+2)=75 (3) 23, 25, 27"
0944,①
0945,48
0946,③
0947,②
0948,28
0949,"(1) 2x+5 (2) 72"
0950,16
0951,⑤
0952,④
0953,8접시
0954,③
0955,④
0956,②
0957,8살
0958,39살
0959,③
0960,7 cm
0961,③
0962,⑤
0963,24 cm
0964,③
0965,800
0966,④
0967,20000원
0968,⑤
0969,"(1) (13/10x-2000)-x=3700 (2) 22700원"
0970,7000원
0971,168
0972,①
0973,200
0974,①
0975,64
0976,⑤
0977,④
0978,9000원
0979,"(1) 7x+13=10(x-2)+3 (2) 10 (3) 83"
0980,40/9 km
0981,"(1) 50 km (2) 1시간 40분"
0982,③
0983,6 km
0984,30분
0985,②
0986,5 km
0987,③
0988,⑤
0989,3시 50분
0990,2250 m
0991,④
0992,③
0993,"(1) 80x+70x=1800 (2) 12분 (3) 960 m"
0994,9분
0995,③
0996,150 m
0997,①
0998,"(1) 200 m (2) 초속 30 m"
0999,④
1000,③
1001,180 g
1002,②
1003,④
1004,③
1005,6
1006,240 g
1007,④
1008,12일
1009,"(1) A: 1/6, B: 1/10 (2) 1/10×2 + (1/6+1/10)x=1 (3) 3일"
1010,②
1011,6시간
1012,"A: 72, B: 42"
1013,"12, 14"
1014,②
1015,①
1016,2
1017,13개월
1018,20
1019,④
1020,67
1021,⑤
1022,2 km
1023,③
1024,③
1025,④
1026,10 %
1027,20
1028,6
1029,57
1030,456
1031,30000원
1032,③
1033,③
1034,28단계
1060,-1
1061,⑤
1062,B(2)
1063,C(-1)
1064,⑤
1065,"(-2, -3), (-2, 3), (2, -3), (2, 3)"
1066,7
1067,④
1068,⑤
1069,BRAVE
1070,-9
1071,②
1072,①
1073,-28
1074,⑤
1075,②
1076,28
1077,①
1078,10
1079,19/2
1080,"①, ⑤"
1081,⑤
1082,"(1) E(2, 3) (2) A(-4, 6), B(-1, 4)"
1083,제1사분면
1084,②
1085,③
1086,제1사분면
1087,④
1088,②
1089,제3사분면
1090,②
1091,③
1092,⑤
1093,⑤
1094,8분
1095,24분
1096,"(1) 20분 (2) 1 km"
1097,⑤
1098,"(1) (ㄴ) (2) (ㄱ) (3) (ㄷ)"
1099,(ㄷ)
1100,"A-(ㄴ), B-(ㄷ), C-(ㄱ)"
1101,③
1102,③
1103,②
1104,"①, ⑤"
1105,제2사분면
1106,⑤
1107,④
1108,③
1109,16
1110,-8
1111,15
1112,"(1) 40분 (2) 1400 m"
1113,②
1114,①
1115,(ㄷ)
1151,"①, ③"
1152,⑤
1153,"(ㄱ), (ㄷ)"
1154,②
1155,-12
1156,y=1/5x
1157,14
1158,⑤
1159,"(1) y=20x (2) 12 L"
1160,"(1) y=6x (2) 360 cm²"
1161,"(1) 16 L (2) 10분"
1162,③
1163,"(1) y=9x (2) 10 cm"
1164,⑤
1165,④
1166,"④, ⑤"
1167,"(ㄱ), (ㄹ)"
1168,①
1169,⑤
1170,③
1171,②
1172,②
1173,③
1174,①
1175,-4
1176,⑤
1177,③
1178,y=4/5x
1179,③
1180,③
1181,0
1182,"(1) y=300x (2) y=120x (3) 720 m"
1183,"②, ⑤"
1184,"(ㄱ), (ㄴ)"
1185,"③, ⑤"
1186,③
1187,④
1188,-1
1189,6
1190,⑤
1191,"(1) y=36/x (2) 9시간"
1192,"(1) y=168/x (2) 24쪽"
