번호,정답
0040,③
0041,③
0042,④
0043,④
0044,-11x²+6xy-2y²
0045,9x²+3x+13
0046,④
0047,②
0048,11
0049,2
0050,10
0051,③
0052,⑤
0053,①
0054,150
0055,②
0056,x⁶-729
0057,①
0058,9a²-6ab+b²-4c²
0059,-3
0060,④
0061,⑤
0062,-10
0063,②
0064,203
0065,52
0066,②
0067,14
0068,①
0069,32
0070,14√2
0071,⑤
0072,④
0073,9/4
0074,13
0075,②
0076,②
0077,②
0078,6
0079,1
0080,6
0081,④
0082,5
0083,③
0084,"몫: 2x-5, 나머지: 7"
0085,12
0086,④
0087,②
0088,"몫: aQ(x), 나머지: R"
0089,④
0090,③
0091,90
0092,120
0093,⑤
0094,a+4
0095,①
0096,560-240√5
0097,⑤
0098,30
0099,135
0100,②
0101,6
0102,52
0103,264
0104,①
0105,④
0106,5
0107,-6
0108,16
0109,③
0110,30
0111,②
0112,24
0113,61
0114,x²+x-8
159,3
160,-6
161,4
162,1
163,5
164,-15
165,20
166,1
167,1
168,2
169,-9
170,-1
171,5
172,16
173,781
174,5
175,4
176,-3
177,10
178,2
179,13
180,4
181,-4
182,4
183,2
184,-3
185,4
186,24
187,1
188,x+5
189,3
190,23
191,3
192,x^2+x-1
193,3
194,2
195,-44
196,-6
197,19
198,1
199,6
200,-8
201,1
202,-1
203,3
204,5
205,3
206,1
207,4
208,10
209,9
210,1
211,3
212,2
213,5
214,2x+1
215,1/2
216,-12
217,a=1,b=2,c=3,d=4
218,4
219,3
220,5
221,3
222,4
223,-7
224,-72
225,16
226,24
227,8
228,5
229,2
230,6
231,5
232,4
233,1
234,5
235,(x-2)(x+1)(x+3)
236,x^2-2x-4
237,4
238,6
239,11
240,1
241,-5
242,(x^2+x-1)(x^2-2x-1)
243,3
244,3
245,1
246,정삼각형
247,2
248,72
249,4
250,8
251,2
252,4
253,989
254,3
255,31,35,43
331,4
332,4
333,5
334,8+2i
335,5
336,-5
337,1
338,-2
339,1+6i
340,2
341,4
342,10
343,3
344,-1
345,5
346,1
347,35
348,2
349,1/2
350,1/2
351,9/2
352,-2i
353,5
354,1
355,-72
356,2
357,4
358,2
359,-3
360,1
361,2
362,5-11i
363,4
364,17/13
365,-3
366,2
367,2+4i,2-4i
368,2
369,2
370,-16
371,1
372,-1
373,3
374,26
375,3
376,3
377,1
378,i
379,-200
380,5
381,2
382,-2
383,2
384,i-1
385,4
386,2
387,2a-2c
388,1
0442,4
0443,③
0444,①
0445,①
0446,2√2-1
0447,④
0448,-1
0449,6
0450,④
0451,-1
0452,-14+14√2
0453,①
0454,x=1 또는 x=√3
0455,2
0456,④
0457,-3≤x<-2
0458,③
0459,x=-3/2 또는 x=-1
0460,12 m
0461,③
0462,4-2√3
0463,②
0464,②
0465,③
0466,-5
0467,-1<k<1 또는 k>1
0468,③
0469,①
0470,서로 다른 두 허근
0471,서로 다른 두 실근
0472,④
0473,③
0474,①
0475,둔각삼각형
0476,④
0477,⑤
0478,2
0479,②
0480,9
0481,-8
0482,②
0483,√7
0484,③
0485,④
0486,9
0487,-13
0488,③
0489,①
0490,9
0491,⑤
0492,1
0493,①
0494,7
0495,2
0496,②
0497,8
0498,"a=1, b=1"
0499,②
0500,④
0501,④
0502,5
0503,①
0504,2x²+3x+8=0
0505,④
0506,3x²-6x-1=0
0507,-127
0508,⑤
0509,-6
0510,-7
0511,x²+2x+19=0
0512,①
0513,②
0514,④
0515,4/9
0516,7/16
0517,①
0518,⑤
0519,-2
0520,②
0521,①
0522,8
0523,x²-2x+5/2
0524,58
0525,⑤
0526,8
0527,-3
0528,②
0529,⑤
0586,48
0587,④
0588,-1
0589,5/4
0590,①
0591,0
0592,-4
0593,4
0594,⑤
0595,27
0596,③
0597,-6
0598,④
0599,4
0600,-2
0601,④
0602,⑤
0603,3
0604,29
0605,1
0606,③
0607,③
0608,-1
0609,20
0610,②
0611,y=-1
0612,①
0613,-1
0614,①
0615,①
0616,-8
0617,⑤
0618,-2
0619,②
0620,1
0621,√15
0622,②
0623,-14
0624,④
0625,33
0626,2
0627,⑤
0628,⑤
0629,①
0630,21
0631,②
0632,4
0633,-4
0634,-5
0635,②
0636,9
0637,②
0638,19/5 m
0639,200원
0640,③
0641,③
0642,30
